Data/InitialText,Data/Label,Data/Mood
Harry Potter and the Sorcerers Stone,0,Neutral
CHAPTER ONE,0,Neutral
THE BOY WHO LIVED,0,Neutral
Mr and Mrs Dursley of number four Privet Drive were proud to say that they were perfectly normal thank you very much,1,Happy
They were the last people youd expect to be involved in anything strange or mysterious because they just did not hold with such nonsense,0,Neutral
Mr Dursley was the director of a firm called Grunnings which made drills,0,Neutral
He was a big beefy man with hardly any neck although he did have a very large mustache,0,Neutral
Mrs Dursley was thin and blonde and had nearly twice the usual amount of neck which came in very useful as she spent so much of her time craning over garden fences spying on the neighbors,5,Anger
The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere,2,Love
The Dursleys had everything they wanted but they also had a secret and their greatest fear was that somebody would discover it,6,Fear
They did not think they could bear it if anyone found out about the Potters,6,Fear
Mrs Potter was Mrs Dursleys sister but they had not met for several years; in fact Mrs Dursley pretended she did not have a sister because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be,5,Anger
The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street,6,Fear
The Dursleys knew that the Potters had a small son too but they had never even seen him,4,Sad
This boy was another good reason for keeping the Potters away; they did not want Dudley mixing with a child like that,6,Fear
When Mr and Mrs Dursley woke up on the dull gray Tuesday our story starts there was nothing about the cloudy sky outside to suggest that strange and mysterious things would soon be happening all over the country,3,Excite
Mr Dursley hummed as he picked out his most boring tie for work and Mrs Dursley gossiped away happily as she wrestled a screaming Dudley into his high chair,1,Happy
None of them noticed a large tawny owl flutter past the window,4,Sad
At half past eight Mr Dursley picked up his briefcase pecked Mrs Dursley on the cheek and tried to kiss Dudley good-bye but missed because Dudley was now having a tantrum and throwing his cereal at the walls,2,Love
Little tyke chortled Mr Dursley as he left the house,1,Happy
He got into his car and backed out of number fours drive,0,Neutral
It was on the corner of the street that he noticed the first sign of something peculiar a cat reading a map,3,Excite
For a second Mr Dursley did not realize what he had seen then he jerked his head around to look again,6,Fear
There was a tabby cat standing on the corner of Privet Drive but there was not a map in sight,3,Excite
What could he have been thinking of? It must have been a trick of the light,1,Happy
Mr Dursley blinked and stared at the cat,5,Anger
It stared back,5,Anger
As Mr Dursley drove around the corner and up the road he watched the cat in his mirror,0,Neutral
It was now reading the sign that said Privet Drive no looking at the sign; cats could not read maps or signs,5,Anger
Mr Dursley gave himself a little shake and put the cat out of his mind,4,Sad
As he drove toward town he thought of nothing except a large order of drills he was hoping to get that day,3,Excite
But on the edge of town drills were driven out of his mind by something else,1,Happy
As he sat in the usual morning traffic jam he could not help noticing that there seemed to be a lot of strangely dressed people about,5,Anger
People in cloaks,0,Neutral
Mr Dursley could not bear people who dressed in funny clothes the getups you saw on young people He supposed this was some stupid new fashion,5,Anger
He drummed his fingers on the steering wheel and his eyes fell on a huddle of these weirdos standing quite close by,5,Anger
